RELEASE,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
12th Fret,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bright Pick,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Low Hum,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
Palm Distortion,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Palm Fuzz,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Palm Pick,0.533890664577484,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Picked,0.594484388828278,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Purr,0.311171889305115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Slappp,0.478984385728836,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Smooth,0.478203117847443,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Superbuzz,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Superfuzz,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Superlow,0.528281331062317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
