POCHINKO,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
B170,0.505328118801117,0.321968764066696,-1,1,-0.29746875166893,0.008812502026558,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.845468759536743,0.759031236171722,-1
Buuo,0.499968737363815,0.725749969482422,-1,1,-0.758218765258789,0.001000004005618,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Feep,0.503421902656555,0.25484374165535,-1,1,-0.29746875166893,0.012281265109778,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Fiin,0.497296869754791,0.272437512874603,-1,1,0.002812498249114,0.003250000067055,-1,0,0,-1,1,0,0,-0.942437529563904,0,0.578281223773956,0.097874984145165,-0.154500022530556
Haas,0.497406244277954,0.614406228065491,-1,1,-0.123687498271465,0.00012498855358,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Joop,0.498124986886978,0.397656261920929,-1,1,-0.29746875166893,0.001531251473352,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Luum,0.502499997615814,0.401812523603439,-1,1,-0.001593741122633,0.001781248371117,-0.650906264781952,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Raaf,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Siif,0.499546885490418,0.685500025749207,-1,1,-0.205406248569488,0.002718756441027,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Taam,0.496906220912933,0.422312498092651,-1,0.455374985933304,-0.001593741122633,0.003750013420358,-0.650906264781952,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Uuuu,0.49923437833786,0.606468737125397,-0.004156250040978,1,0.000968749984168,-0.003125007497147,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Yoom,0.495781272649765,0.600187480449677,-1,1,-0.437968760728836,0.004124970640987,-0.177062496542931,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.377187490463257,-1
