WARP,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Auto,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Circle,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
First Space,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Fold,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Hit,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Idiophonic,0.499390631914139,0.003812500042841,-0.003781249979511,1,1,0.003281249897555,-1,0,0,-1,1,0,0,-1,0,-1,-1,1
Non-Space,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Orbit,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Second Space,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Sphere,0.503626227378845,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Spiral,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
The Bubble,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Third Space,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Torus,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Twin Paradox,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
Vocal,0.50209379196167,0.513718783855438,-1,1,-0.204562529921532,0.004781214054674,-1,0,0,-1,1,0,0,-0.942437529563904,0,-0.515500009059906,0.759031236171722,-1
