WET TOWL,,,,,,,,,,,,,,,,,,
Instrument,Defaults,Levels,Tuning,Pitch,PitchEnv,Reverb,ModAttack,ModDecay,ModSustain,ModRelease,AmpAttack,AmpSustain,AmpDecay,AmpRelease,FilterType,FilterCutoff,FilterEnvAmount,FilterResonance
Boom,0.499046862125397,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Kettle Hits,0.494999974966049,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Metal & Boom,0.502078115940094,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Perc Melange 1,0.499046862125397,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Perc Melange 2,0.499046862125397,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Rattle & Scrape,0.502078115940094,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Rolling,0.502078115940094,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Skinned,0.501343727111816,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Skins,0.502078115940094,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Sticks,0.502078115940094,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
Tam Bma Ts,0.502078115940094,0,0,-0.818843722343445,-0.95159375667572,0,-0.014718749560416,0,0,0.646624982357025,0,0,0,0,0,0.300281256437302,0.895281255245209,0
